matrix,fraction,status,mu_Lp,mu_Lm
chickpea,0.3,optimal,0.2633858976630892,0.26338589766308856
chickpea,0.5,optimal,0.43897649610514816,0.43897649610514816
chickpea,0.7,optimal,0.6145670945472075,0.6145670945472075
fava_bean,0.3,optimal,0.17250914713407353,0.17250914713407361
fava_bean,0.5,optimal,0.287515245223456,0.287515245223456
fava_bean,0.7,optimal,0.40252134331283623,0.40252134331284056
